A1,A3,A7,A8,A9,A10,A11,A13,A14,A4_1,A4_2,A4_3,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A6_1,A6_2,A6_3,A6_4,A6_5,A6_7,A6_8,A6_9,A12_1,A12_2,A12_3
1,1.355151553666626,-0.029426801175040436,1,1,1.7697603929850454,1,0.6160713259319017,-0.14086431323026277,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.7053344343000454,3.484237271382267,0,1,-0.2881005290905888,1,0.9764642060545157,-0.17390104716651944,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,2.862824227788581,-0.6529152770288265,0,1,-0.08231443688302535,0,-1.0696373068996794,-0.12799535291788372,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1.5561745768828867,0.23222903401539735,1,0,-0.49388662129815225,1,-0.9533815391181911,-0.1954133390319889,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1.8406221547338957,1.9143022602396402,1,1,0.7408299319472283,1,-0.6627421196644703,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.651570972409714,1.6900258300764077,1,1,0.7408299319472283,1,-1.0696373068996794,0.04659994445454257,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.3535441436715893,3.484237271382267,1,1,-0.08231443688302535,1,1.9471998670299435,0.13188081577836794,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,-0.9566132133203712,-0.6394586912190325,1,0,-0.49388662129815225,0,-1.0696373068996794,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.6550786784959802,-0.5033976569200049,0,0,-0.49388662129815225,1,-0.3721027002107493,-0.18254437871960985,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.730462312202078,-0.2910826363654782,1,0,-0.49388662129815225,0,-1.0696373068996794,0.8221948958185221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,-0.8480607807835905,-0.48994107111021096,1,1,0.12347165532453808,1,-0.023335396866284254,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.873188658685623,-0.6529152770288265,0,1,-0.08231443688302535,0,-0.325600393098154,-0.19426089482491019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1.1038727746463004,-0.4525616660830056,1,1,-0.08231443688302535,1,-0.784810675835033,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.6048229226919151,-0.6155358720016211,0,0,-0.49388662129815225,0,-0.30234923954185633,-0.1954133390319889,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.9485722923917208,-0.6529152770288265,0,0,-0.49388662129815225,0,-1.0696373068996794,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.5545671668878499,-0.06680620620224584,0,0,-0.49388662129815225,0,0.4184365207033715,-0.19214808044526588,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,2.0587321349235386,0.9798171345595054,1,1,2.387118669607736,0,-1.0696373068996794,0.2271495368968756,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.253032632063459,-0.5153590665287107,0,0,-0.49388662129815225,1,0.2789295993655855,-0.1954133390319889,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.12739324255329607,-0.6529152770288265,0,0,-0.49388662129815225,0,-0.255846932429261,-0.1762059355806769,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.9314853354183387,-0.6394586912190325,0,0,-0.49388662129815225,0,0.1859249851403948,0.20794213344556356,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.6048229226919151,0.03337059927066462,0,0,-0.49388662129815225,1,-0.41860500732334466,-0.19426089482491019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.30328838786752416,0.8557175098691834,0,1,-0.08231443688302535,1,1.0752816086687806,-0.1952212649974758,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.6550786784959802,-0.06680620620224584,1,1,1.7697603929850454,1,1.453112853958618,-0.1886907478240297,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.350036437585323,0.38174665412421893,1,1,-0.2881005290905888,0,-1.0696373068996794,-0.09937632177542881,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,-0.45405565527971964,-0.6020792861918272,0,0,-0.49388662129815225,0,0.4416876742596692,-0.14816312654176134,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0.03141494578754985,0.2815698486513085,1,0,-0.49388662129815225,1,-0.7673723106678098,0.08155741873593045,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1.5059188210788217,-0.2910826363654782,1,1,0.3292577475321015,1,0.09292037091520411,-0.1954133390319889,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.048501902760932,0.007952603852164964,0,0,-0.49388662129815225,1,-0.25003414404018653,-0.1954133390319889,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,-0.8138868668368262,-0.5901178765831214,0,1,-0.2881005290905888,1,0.3254319064781808,-0.19464504289393644,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.5545671668878499,-0.21632382631106742,1,1,-0.08231443688302535,0,-0.3721027002107493,-0.13779112867805285,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.253032632063459,-0.5153590665287107,0,0,-0.49388662129815225,0,5.673197224426645,-0.1954133390319889,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,-0.8561017017122409,-0.21632382631106742,1,0,-0.49388662129815225,0,0.5579434420411575,-0.03714433459317785,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,1.0114021839668204,1.7154438254949078,1,1,1.1524021163623552,0,-1.0696373068996794,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,-0.9234444144896883,-0.6529152770288265,0,0,-0.49388662129815225,1,1.1392222809485992,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1.355151553666626,-0.5153590665287107,1,0,-0.49388662129815225,1,-0.4883584679922377,-0.18235230468509675,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.38671294250227234,-0.6648766866375322,0,1,0.535043839739665,0,-0.046586550422581925,-0.16737052999307336,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,-0.6379917215225981,-0.11614702083815696,1,1,1.975546485192609,1,2.319218323930706,-0.058464552424134196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,4.337328103079853,-0.6648766866375322,1,0,-0.49388662129815225,1,-1.0696373068996794,-0.1954133390319889,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,-0.6802065563980129,-0.6529152770288265,0,1,0.12347165532453808,0,-1.0696373068996794,-0.18907489589305596,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.7053344343000454,-0.14156501625665663,0,0,-0.49388662129815225,0,0.09292037091520411,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.05654282368958243,-0.21632382631106742,1,1,1.1524021163623552,1,-0.2325957788729633,-0.19406882079039708,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,3.365381785829233,5.3158281177153315,1,1,1.7697603929850454,0,-1.0696373068996794,0.035075502383755355,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,-0.10226536465126349,0.38174665412421893,0,0,-0.49388662129815225,0,1.5693686217401062,-0.1858096373063329,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.8892705005429239,0.38174665412421893,0,0,-0.49388662129815225,1,0.9067107453856226,-0.1954133390319889,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.253032632063459,-0.6155358720016211,0,0,-0.49388662129815225,0,0.1859249851403948,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.9566132133203712,-0.365841446419889,0,1,1.7697603929850454,0,-1.0696373068996794,-0.1954133390319889,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,-0.6631195994246307,-0.3404234510013894,1,1,2.7986908540228628,0,-0.3721027002107493,0.20390857872078805,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.253032632063459,-0.4779796615015052,1,1,0.9466160241547917,0,-1.0696373068996794,1.1604372705961268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.2027768762593938,-0.6648766866375322,0,1,0.7408299319472283,0,-1.0696373068996794,-0.15699853212936488,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1.0536170188422351,-0.5407770619472103,0,0,-0.49388662129815225,0,-0.6046142357737261,-0.18734622958243788,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.048501902760932,-0.6020792861918272,0,0,-0.49388662129815225,0,2.1273963070912503,-0.1954133390319889,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,-0.7555901901041105,-0.5153590665287107,0,0,-0.49388662129815225,1,0.5579434420411575,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,-0.9566132133203712,-0.6648766866375322,0,0,-0.49388662129815225,0,-8.424330998658097e-05,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1.7903663989298304,-0.21632382631106742,0,0,-0.49388662129815225,0,0.5579434420411575,-0.1952212649974758,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1.6566860884910173,0.8796403290865948,1,1,1.3581882085699186,1,-1.0696373068996794,-0.1954133390319889,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0.09875765856499716,-0.6394586912190325,0,0,-0.49388662129815225,1,0.6160713259319017,-0.19426089482491019,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.8390147447388587,-0.6648766866375322,0,0,-0.49388662129815225,0,-0.4883584679922377,-0.1954133390319889,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,-0.697293513371395,-0.5901178765831214,0,0,-0.49388662129815225,1,-0.255846932429261,-0.1954133390319889,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,-0.1354341634819465,-0.6529152770288265,0,0,-0.49388662129815225,0,-0.44185616087964236,-0.1762059355806769,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1.9582206233154082,-0.6274972816103268,0,0,-0.49388662129815225,0,-1.0696373068996794,-0.14048016516123654,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.048501902760932,0.08271141390657576,1,1,0.7408299319472283,0,-1.0696373068996794,-0.1249221683656738,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1.0536170188422351,-0.6155358720016211,0,0,-0.49388662129815225,0,0.9067107453856226,-0.1954133390319889,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.6550786784959802,-0.21632382631106742,0,0,-0.49388662129815225,0,-0.1977190485385168,-0.19387674675588396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.6219098796652972,-0.5901178765831214,0,0,-0.49388662129815225,0,-1.0696373068996794,-0.12050446557187203,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.9485722923917208,-0.6529152770288265,0,0,-0.49388662129815225,0,-1.0696373068996794,-0.1954133390319889,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.9531055072341049,-0.14156501625665663,0,1,1.563974300777482,1,-1.0696373068996794,-0.19349259868685773,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.7887589889347936,-0.19090583089256777,1,1,-0.2881005290905888,0,-1.0696373068996794,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.15252112045532865,0.23222903401539735,0,0,-0.49388662129815225,0,1.7205011198560412,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.9143983784449565,-0.6394586912190325,1,0,-0.49388662129815225,1,0.5579434420411575,-0.1954133390319889,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1.8074533559032129,1.0545759446139162,1,0,-0.49388662129815225,1,1.761190638579562,-0.09937632177542881,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.8390147447388587,-0.5901178765831214,1,1,-0.08231443688302535,0,0.4416876742596692,-0.09937632177542881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.9566132133203712,-0.6648766866375322,0,1,0.3292577475321015,0,-0.8080618293913306,-0.1952212649974758,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,-0.7807180680061432,-0.3538800368111833,1,0,-0.49388662129815225,1,-0.1395911646477726,0.9301405032148956,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,-0.5545671668878499,-0.365841446419889,1,1,0.3292577475321015,0,-0.255846932429261,1.2535931773349902,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0.8525939956259746,-0.6394586912190325,0,0,-0.49388662129815225,0,-1.0696373068996794,-0.1954133390319889,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1.77428455707253,1.8769228552124348,1,0,-0.49388662129815225,1,-1.0696373068996794,-0.1954133390319889,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.45405565527971964,-0.2910826363654782,0,0,-0.49388662129815225,1,0.5579434420411575,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1.0787448967442679,-0.6274972816103268,0,0,-0.49388662129815225,0,-0.1395911646477726,-0.1954133390319889,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.350036437585323,-0.365841446419889,0,0,-0.49388662129815225,1,-1.0696373068996794,-0.15162045916299752,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.15252112045532865,1.0545759446139162,1,1,-0.08231443688302535,1,-0.6336781777190982,-0.1954133390319889,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,-0.7726771470774927,-0.44060025647429985,1,1,0.3292577475321015,0,-1.0696373068996794,0.1086398576022804,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.906357457516306,0.5312642742330406,0,0,-0.49388662129815225,1,1.371733816511576,-0.1954133390319889,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,-0.9405313714630704,-0.6529152770288265,1,1,-0.2881005290905888,1,0.5579434420411575,0.18873472999425153,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1.1209597316196827,-0.5646998811646218,1,1,-0.2881005290905888,1,-0.6046142357737261,-0.1858096373063329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.7555901901041105,-0.44060025647429985,1,1,0.9466160241547917,1,0.9067107453856226,0.5865200554709236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1.2546400420584958,0.08271141390657576,1,1,0.9466160241547917,1,-0.4883584679922377,-0.04002544511087465,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.7520824840178443,3.0730638160830077,1,1,1.3581882085699186,0,-0.017522608477209836,0.12246918808722507,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0.048501902760932,0.8302995144506837,1,1,0.9466160241547917,0,-1.0696373068996794,0.39329357675072457,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
